26,2,384,2,2.38,1358.65,0.95,7.59,4028,9596,3809,30591
27,1,631,2,2.9,4010.97,0.83,20.75,15584,45175,12867,323372
27,2,134,2,2.52,4022.16,0.82,21.0,15514,39035,12691,325763
27,3,15,2,2.72,3967.73,0.82,20.84,15507,42166,12684,323235
27,4,141,2,2.6,4158.57,0.81,22.07,15483,40254,12567,341683
27,5,18,2,2.82,4329.36,0.79,23.25,15497,43724,12262,360362
27,6,128,2,2.69,4537.19,0.79,24.41,15486,41710,12210,378014
28,1,516,2,3.56,3098.53,0.86,16.88,5996,21358,5160,101187
29,1,309,2,1.71,646.5,0.98,3.41,4472,7638,4371,15263
30,1,25,2,1.86,959.71,0.98,5.18,5468,10163,5340,28348
30,2,150,2,2.77,1650.24,0.9,9.07,5444,15084,4891,49382
31,1,366,2,2.52,795.5,0.92,5.04,4986,12560,4590,25106
31,2,490,2,2.54,1064.22,0.91,6.27,4966,12628,4519,31160
32,1,91,2,2.15,1008.18,0.95,6.35,6014,12902,5685,38179
33,1,284,2,1.94,1030.6,0.97,5.67,13675,26526,13270,77532
33,2,175,2,2.62,2196.59,0.9,11.89,13653,35765,12345,162321
33,3,632,2,2.41,2268.48,0.9,12.19,13640,32905,12309,166235
33,4,198,2,2.81,2805.6,0.85,14.96,13606,38257,11536,203576
33,5,308,2,2.54,2832.82,0.85,15.2,13597,34604,11583,206629
34,1,558,2,1.79,691.17,0.97,4.55,5277,9446,5133,24017
34,2,438,2,2.13,807.77,0.95,4.82,5270,11235,5004,25396
35,1,85,2,2.84,1716.8,0.9,9.65,5596,15866,5013,53989
36,1,201,2,1.7,211.01,0.98,1.93,3894,6617,3823,7497
36,2,626,2,2.2,360.95,0.96,2.58,3889,8565,3750,10048
37,1,245,4,1.75,2864.77,0.76,14.35,2630,4597,1997,37749
37,2,270,4,1.75,2937.96,0.7,14.37,2623,4601,1837,37682
38,1,81,2,2.05,1409.72,0.95,7.39,8140,16708,7720,60118
38,2,1,2,2.2,1414.92,0.94,7.42,8139,17893,7641,60387
38,3,76,2,3.0,2921.09,0.87,14.56,8125,24350,7080,118336
38,4,197,2,2.72,3050.13,0.87,15.7,8118,22041,7045,127468
39,1,590,2,3.47,4109.17,0.89,18.5,6331,21961,5651,117122
39,2,74,2,3.39,6398.14,0.8,27.22,6320,21427,5052,172012
39,3,593,2,2.81,6235.8,0.79,26.9,6305,17688,4987,169587
40,1,410,2,1.94,1149.78,0.95,6.88,28233,54751,26954,194273
40,2,550,2,2.47,1921.31,0.85,11.22,28201,69516,24024,316437
41,1,502,2,1.48,318.4,0.98,2.25,29771,44139,29243,67129
42,1,143,2,2.04,1164.37,0.94,6.49,20841,42451,19673,135199
43,1,515,2,4.0,3319.88,0.83,19.96,4590,18355,3832,91596
43,2,641,2,4.12,3766.23,0.85,22.09,4235,17440,3619,93534
44,1,31,2,3.01,1173.34,0.95,7.24,4183,12590,3971,30269
45,1,456,1,9.24,8383.6,0.84,42.08,7472,69012,6290,314458
